城市,日期,最高气温,最低气温,当日天气,风向,,  
澳门,2022-02-16 星期三 ,19,15,多云,东风 3级,,
澳门,2022-02-17 星期四 ,18,17,阴,东风 5级,,
澳门,2022-02-18 星期五 ,18,12,多云,东风 3级,,
澳门,2022-02-19 星期六 ,12,8,多云,东北风 2级,,
澳门,2022-02-20 星期日 ,10,7,多云,北风 3级,,
澳门,2022-02-21 星期一 ,11,6,多云,北风 4级,,
澳门,2022-02-22 星期二 ,11,9,阴,北风 4级,,
澳门,2022-02-23 星期三 ,16,8,阴,北风 4级,,
澳门,2022-02-24 星期四 ,15,11,阴,北风 2级,,
澳门,2022-02-25 星期五 ,16,14,阴,北风 2级,,
澳门,2022-02-26 星期六 ,18,13,多云,东北风 2级,,
澳门,2022-02-27 星期日 ,21,15,多云,东南风 2级,,
澳门,2022-02-28 星期一 ,22,17,阴,东风 2级,,
澳门,2022-03-01 星期二 ,24,17,多云,东风 1级,,
澳门,2022-03-02 星期三 ,23,18,多云,北风 1级,,
澳门,2022-03-03 星期四 ,24,18,多云,东南风 2级,,
澳门,2022-03-04 星期五 ,25,19,晴,南风 1级,,
澳门,2022-03-05 星期六 ,26,18,晴,南风 2级,,
澳门,2022-03-06 星期日 ,23,15,阴,东风 3级,,
澳门,2022-03-07 星期一 ,22,13,晴,东北风 2级,,
澳门,2022-03-08 星期二 ,23,14,晴,东风 4级,,
澳门,2022-03-09 星期三 ,26,15,多云,东风 2级,,
澳门,2022-03-10 星期四 ,26,18,晴,东南风 3级,,
澳门,2022-03-11 星期五 ,27,18,多云,东南风 1级,,
澳门,2022-03-12 星期六 ,28,19,多云,东南风 2级,,
澳门,2022-03-13 星期日 ,28,20,多云转晴,东风 3级,,
澳门,2022-03-14 星期一 ,27,19,晴,东南风 1级,,
澳门,2022-03-15 星期二 ,28,20,阴,南风 1级,,
澳门,2022-03-16 星期三 ,24,19,阴,东南风 2级,,
澳门,2022-03-17 星期四 ,24,20,晴,西南风 1级,,
澳门,2022-03-18 星期五 ,26,21,多云,西南风 1级,,
澳门,2022-03-19 星期六 ,28,21,多云,东南风 3级,,
澳门,2022-03-20 星期日 ,29,22,多云,东南风 2级,,
澳门,2022-03-21 星期一 ,27,21,多云,东南风 2级,,
澳门,2022-03-22 星期二 ,10,0,阴,东风 2级,,
澳门,2022-03-23 星期三 ,16,4,多云转晴,南风 2级,,
澳门,2022-03-24 星期四 ,23,16,多云,东风 3级,,
澳门,2022-03-25 星期五 ,25,20,多云,南风 4级,,
澳门,2022-03-26 星期六 ,27,18,多云,南风 2级,,
澳门,2022-03-27 星期日 ,25,18,阴,北风 2级,,
澳门,2022-03-28 星期一 ,24,14,阴,东风 2级,,
澳门,2022-03-29 星期二 ,23,18,多云,东风 3级,,
澳门,2022-03-30 星期三 ,24,18,阴,东风 3级,,
澳门,2022-03-31 星期四 ,28,18,晴,东南风 4级,,
澳门,2022-04-01 星期五 ,20,14,小雨,东北风 3级,,
澳门,2022-04-02 星期六 ,16,12,多云,东北风 2级,,
澳门,2022-04-03 星期日 ,23,13,晴,东北风 2级,,
澳门,2022-04-04 星期一 ,24,13,晴,东风 3级,,
澳门,2022-04-05 星期二 ,24,17,晴,东风 2级,,
澳门,2022-04-06 星期三 ,28,18,多云,北风 2级,,
澳门,2022-04-07 星期四 ,28,18,多云,东南风 2级,,
澳门,2022-04-08 星期五 ,29,16,晴,东南风 3级,,
澳门,2022-04-09 星期六 ,29,18,晴,东南风 3级,,
澳门,2022-04-10 星期日 ,27,20,晴,东风 2级,,
澳门,2022-04-11 星期一 ,29,20,晴,南风 2级,,
澳门,2022-04-12 星期二 ,29,21,晴,东南风 2级,,
澳门,2022-04-13 星期三 ,30,21,晴,西风 3级,,
澳门,2022-04-14 星期四 ,29,19,晴,南风 2级,,
澳门,2022-04-15 星期五 ,27,21,多云,东南风 3级,,
澳门,2022-04-16 星期六 ,23,20,多云,东风 2级,,
澳门,2022-04-17 星期日 ,25,20,多云,东风 2级,,
澳门,2022-04-18 星期一 ,24,18,阴转多云,东北风 4级,,
澳门,2022-04-19 星期二 ,22,18,多云,东北风 1级,,
澳门,2022-04-20 星期三 ,23,17,多云,北风 1级,,
澳门,2022-04-21 星期四 ,27,21,晴,东南风 3级,,
澳门,2022-04-22 星期五 ,22,12,多云,东北风 4级,,
澳门,2022-04-23 星期六 ,29,23,多云,南风 2级,,
澳门,2022-04-24 星期日 ,30,24,晴,南风 2级,,
澳门,2022-04-25 星期一 ,29,23,多云,南风 2级,,
澳门,2022-04-26 星期二 ,33,24,晴,东南风 3级,,
澳门,2022-04-27 星期三 ,30,24,晴,南风 2级,,
澳门,2022-04-28 星期四 ,31,25,多云,南风 2级,,
澳门,2022-04-29 星期五 ,31,25,多云,东风 2级,,
澳门,2022-04-30 星期六 ,30,19,阴,东南风 3级,,
澳门,2022-05-01 星期日 ,23,17,小雨,北风 3级,,
澳门,2022-05-02 星期一 ,20,15,多云,东北风 1级,,
澳门,2022-05-03 星期二 ,26,19,多云,北风 1级,,
澳门,2022-05-04 星期三 ,28,21,晴,东风 3级,,
澳门,2022-05-05 星期四 ,29,22,多云,东风 3级,,
澳门,2022-05-06 星期五 ,29,21,多云,东南风 2级,,
澳门,2022-05-07 星期六 ,27,21,小雨,东北风 2级,,
澳门,2022-05-08 星期日 ,27,23,阴,东风 2级,,
澳门,2022-05-09 星期一 ,29,24,阴,东南风 3级,,
澳门,2022-05-10 星期二 ,27,23,小雨到中雨,东南风 3级,,
澳门,2022-05-11 星期三 ,26,24,小雨到大雨,南风 3级,,
澳门,2022-05-12 星期四 ,27,22,小雨,西风 2级,,
澳门,2022-05-13 星期五 ,26,22,小雨到中雨,北风 2级,,
澳门,2022-05-14 星期六 ,27,22,小雨,东风 2级,,
澳门,2022-05-15 星期日 ,23,21,小雨到大雨,东风 2级,,
澳门,2022-05-16 星期一 ,27,14,晴,西南风 2级,,
澳门,2022-05-17 星期二 ,26,19,多云,东风 2级,,
澳门,2022-05-18 星期三 ,26,20,多云转阴,东风 4级,,
澳门,2022-05-19 星期四 ,28,22,阴,东风 1级,,
澳门,2022-05-20 星期五 ,27,23,晴,东南风 1级,,
澳门,2022-05-21 星期六 ,30,24,多云,东南风 2级,,
澳门,2022-05-22 星期日 ,28,22,多云,东风 3级,,
澳门,2022-05-23 星期一 ,27,24,阴,东风 5级,,
澳门,2022-05-24 星期二 ,27,24,阴,东风 4级,,
澳门,2022-05-25 星期三 ,30,24,阴,东南风 3级,,
澳门,2022-05-26 星期四 ,28,24,多云,东南风 2级,,
澳门,2022-05-27 星期五 ,28,24,小雨到中雨,南风 3级,,
澳门,2022-05-28 星期六 ,29,25,小雨,南风 3级,,
澳门,2022-05-29 星期日 ,32,26,多云,东南风 2级,,
澳门,2022-05-30 星期一 ,30,24,多云,东南风 2级,,
澳门,2022-05-31 星期二 ,31,25,多云,南风 1级,,
澳门,2022-06-01 星期三 ,30,25,小雨,东南风 3级,,
澳门,2022-06-02 星期四 ,31,26,小雨到中雨,西南风 2级,,
澳门,2022-06-03 星期五 ,31,26,小雨,西南风 2级,,
澳门,2022-06-04 星期六 ,32,26,阴,南风 2级,,
澳门,2022-06-05 星期日 ,32,26,阴,南风 2级,,
澳门,2022-06-06 星期一 ,31,25,小雨,西南风 4级,,
澳门,2022-06-07 星期二 ,29,25,小雨到中雨,西南风 1级,,
澳门,2022-06-08 星期三 ,27,23,小雨到中雨,南风 1级,,
澳门,2022-06-09 星期四 ,30,25,小雨到中雨,南风 2级,,
澳门,2022-06-10 星期五 ,29,24,小雨,南风 2级,,
澳门,2022-06-11 星期六 ,31,25,小雨到大雨,西南风 3级,,
澳门,2022-06-12 星期日 ,31,25,小雨到大雨,西南风 4级,,
澳门,2022-06-13 星期一 ,31,25,多云,西南风 3级,,
澳门,2022-06-14 星期二 ,28,24,小雨,西南风 1级,,
澳门,2022-06-15 星期三 ,29,23,小雨到中雨,南风 2级,,
澳门,2022-06-16 星期四 ,30,26,多云,南风 2级,,
澳门,2022-06-17 星期五 ,29,26,多云,南风 3级,,
澳门,2022-06-18 星期六 ,31,27,多云,南风 3级,,
澳门,2022-06-19 星期日 ,32,26,多云,南风 2级,,
澳门,2022-06-20 星期一 ,34,27,多云,东南风 2级,,
澳门,2022-06-21 星期二 ,34,27,阴,南风 3级,,
澳门,2022-06-22 星期三 ,30,25,多云,南风 3级,,
澳门,2022-06-23 星期四 ,32,26,多云,南风 2级,,
澳门,2022-06-24 星期五 ,32,26,多云,东南风 3级,,
澳门,2022-06-25 星期六 ,33,27,小雨,东南风 2级,,
澳门,2022-06-26 星期日 ,34,26,多云,南风 2级,,
澳门,2022-06-27 星期一 ,32,26,多云,南风 2级,,
澳门,2022-06-28 星期二 ,34,26,多云,南风 3级,,
澳门,2022-06-29 星期三 ,31,25,阴,南风 1级,,
澳门,2022-06-30 星期四 ,30,25,小雨到大雨,东风 4级,,
澳门,2022-07-01 星期五 ,32,26,小雨到中雨,东北风 2级,,
澳门,2022-07-02 星期六 ,28,25,小雨到大雨,西风 5级,,
澳门,2022-07-03 星期日 ,30,26,小雨到大雨,南风 7级,,
澳门,2022-07-04 星期一 ,29,27,阴到中雨,西南风 3级,,
澳门,2022-07-05 星期二 ,32,25,阴,东风 1级,,
澳门,2022-07-06 星期三 ,31,25,小雨到中雨,西风 2级,,
澳门,2022-07-07 星期四 ,30,25,多云,东南风 2级,,
澳门,2022-07-08 星期五 ,32,26,晴,东风 3级,,
澳门,2022-07-09 星期六 ,31,26,多云,东风 2级,,
澳门,2022-07-10 星期日 ,33,26,小雨,东南风 3级,,
澳门,2022-07-11 星期一 ,33,26,多云转晴,东南风 3级,,
澳门,2022-07-12 星期二 ,33,27,晴,东南风 2级,,
澳门,2022-07-13 星期三 ,33,27,晴,东南风 3级,,
澳门,2022-07-14 星期四 ,34,26,多云,西南风 1级,,
澳门,2022-07-15 星期五 ,32,27,多云,南风 2级,,
澳门,2022-07-16 星期六 ,35,27,多云,东风 2级,,
澳门,2022-07-17 星期日 ,33,27,多云,南风 3级,,
澳门,2022-07-18 星期一 ,36,28,阴,东南风 2级,,
澳门,2022-07-19 星期二 ,32,27,多云,东南风 3级,,
澳门,2022-07-20 星期三 ,32,27,小雨,东南风 3级,,
澳门,2022-07-21 星期四 ,34,27,晴,南风 2级,,
澳门,2022-07-22 星期五 ,35,27,晴,西南风 1级,,
澳门,2022-07-23 星期六 ,35,26,晴,东南风 3级,,
澳门,2022-07-24 星期日 ,35,28,晴,南风 3级,,
澳门,2022-07-25 星期一 ,35,28,多云转阴,西南风 3级,,
澳门,2022-07-26 星期二 ,35,25,多云,西南风 1级,,
澳门,2022-07-27 星期三 ,35,28,晴,南风 2级,,
澳门,2022-07-28 星期四 ,36,28,多云,西南风 4级,,
澳门,2022-07-29 星期五 ,35,27,小雨,西南风 3级,,
澳门,2022-07-30 星期六 ,35,26,多云,西风 1级,,
澳门,2022-07-31 星期日 ,34,26,晴,东南风 2级,,
澳门,2022-08-01 星期一 ,33,27,多云,南风 1级,,
澳门,2022-08-02 星期二 ,33,27,多云,东南风 2级,,
澳门,2022-08-03 星期三 ,32,26,阴,西风 1级,,
澳门,2022-08-04 星期四 ,28,26,阴,南风 1级,,
澳门,2022-08-05 星期五 ,29,26,阴,南风 2级,,
澳门,2022-08-06 星期六 ,31,27,多云,东南风 2级,,
澳门,2022-08-07 星期日 ,30,26,多云,东风 2级,,
澳门,2022-08-08 星期一 ,31,27,阴,东风 2级,,
澳门,2022-08-09 星期二 ,29,26,阴,东风 3级,,
澳门,2022-08-10 星期三 ,28,26,阴,东风 5级,,
澳门,2022-08-11 星期四 ,29,25,阴,东南风 4级,,
澳门,2022-08-12 星期五 ,31,25,阴,东南风 2级,,
澳门,2022-08-13 星期六 ,31,27,阴,南风 2级,,
澳门,2022-08-14 星期日 ,30,26,多云,东南风 1级,,
澳门,2022-08-15 星期一 ,30,25,多云,东南风 2级,,
澳门,2022-08-16 星期二 ,31,27,多云,东南风 1级,,
澳门,2022-08-17 星期三 ,30,27,多云,东南风 2级,,
澳门,2022-08-18 星期四 ,30,26,阴,东南风 2级,,
澳门,2022-08-19 星期五 ,30,26,阴,东风 5级,,
澳门,2022-08-20 星期六 ,30,26,阴,东南风 4级,,
澳门,2022-08-21 星期日 ,31,26,阴,南风 2级,,
澳门,2022-08-22 星期一 ,33,27,雾,西南风 3级,,
澳门,2022-08-23 星期二 ,32,26,多云,西南风 1级,,
澳门,2022-08-24 星期三 ,32,25,多云,东北风 4级,,
澳门,2022-08-25 星期四 ,30,25,阴,东南风 6级,,
澳门,2022-08-26 星期五 ,31,26,阴,南风 2级,,
澳门,2022-08-27 星期六 ,31,27,阴,东南风 2级,,
澳门,2022-08-28 星期日 ,31,27,多云,西北风 1级,,
澳门,2022-08-29 星期一 ,32,27,阴,东南风 1级,,
澳门,2022-08-30 星期二 ,29,26,多云,西风 1级,,
澳门,2022-08-31 星期三 ,29,26,多云,西北风 1级,,
澳门,2022-09-01 星期四 ,31,26,多云,南风 1级,,
澳门,2022-09-02 星期五 ,31,26,多云,北风 2级,,
澳门,2022-09-03 星期六 ,31,27,多云,北风 2级,,
澳门,2022-09-04 星期日 ,33,26,多云,西北风 2级,,
澳门,2022-09-05 星期一 ,33,26,多云,北风 2级,,
澳门,2022-09-06 星期二 ,34,28,多云,西北风 1级,,
澳门,2022-09-07 星期三 ,29,26,阴,东风 3级,,
澳门,2022-09-08 星期四 ,29,26,阴,东北风 2级,,
澳门,2022-09-09 星期五 ,33,25,多云,东北风 2级,,
澳门,2022-09-10 星期六 ,32,26,阴,东南风 2级,,
澳门,2022-09-11 星期日 ,33,27,多云,东南风 3级,,
澳门,2022-09-12 星期一 ,32,28,多云,西风 2级,,
澳门,2022-09-13 星期二 ,33,27,晴,西风 1级,,
澳门,2022-09-14 星期三 ,33,27,晴,西北风 2级,,
澳门,2022-09-15 星期四 ,34,26,晴,东南风 3级,,
澳门,2022-09-16 星期五 ,32,28,多云,西南风 2级,,
澳门,2022-09-17 星期六 ,34,26,多云,西南风 1级,,
澳门,2022-09-18 星期日 ,34,27,多云,西南风 3级,,
澳门,2022-09-19 星期一 ,32,27,阴,西南风 3级,,
澳门,2022-09-20 星期二 ,30,27,多云,东北风 1级,,
澳门,2022-09-21 星期三 ,30,27,阴,东风 4级,,
澳门,2022-09-22 星期四 ,30,27,多云,东风 3级,,
澳门,2022-09-23 星期五 ,31,26,雾,东风 2级,,
澳门,2022-09-24 星期六 ,32,26,多云,东风 3级,,
澳门,2022-09-25 星期日 ,31,25,雾,东风 3级,,
澳门,2022-09-26 星期一 ,32,25,多云,东风 2级,,
澳门,2022-09-27 星期二 ,31,25,多云,东风 3级,,
澳门,2022-09-28 星期三 ,29,25,多云,东风 4级,,
澳门,2022-09-29 星期四 ,29,26,多云,东风 3级,,
澳门,2022-09-30 星期五 ,32,25,阴,东风 2级,,
澳门,2022-10-01 星期六 ,28,25,多云,东风 2级,,
澳门,2022-10-02 星期日 ,30,26,多云,东风 3级,,
澳门,2022-10-03 星期一 ,31,27,多云,东风 2级,,
澳门,2022-10-04 星期二 ,32,25,多云,东南风 2级,,
澳门,2022-10-05 星期三 ,29,26,多云,东风 4级,,
澳门,2022-10-06 星期四 ,29,24,多云,东风 2级,,
澳门,2022-10-07 星期五 ,28,23,多云,东南风 1级,,
澳门,2022-10-08 星期六 ,28,25,多云,东北风 2级,,
澳门,2022-10-09 星期日 ,30,21,多云,东风 2级,,
澳门,2022-10-10 星期一 ,28,19,晴,东北风 4级,,
澳门,2022-10-11 星期二 ,28,21,多云,东南风 2级,,
澳门,2022-10-12 星期三 ,27,21,晴,北风 1级,,
澳门,2022-10-13 星期四 ,28,23,晴,东北风 4级,,
澳门,2022-10-14 星期五 ,31,22,多云,东北风 3级,,
澳门,2022-10-15 星期六 ,29,22,多云,北风 2级,,
澳门,2022-10-16 星期日 ,29,23,多云,北风 2级,,
澳门,2022-10-17 星期一 ,29,19,多云,东北风 5级,,
澳门,2022-10-18 星期二 ,22,18,多云,东北风 6级,,
澳门,2022-10-19 星期三 ,22,21,多云,东风 2级,,
澳门,2022-10-20 星期四 ,26,22,多云,东风 3级,,
澳门,2022-10-21 星期五 ,28,21,多云,东风 3级,,
澳门,2022-10-22 星期六 ,30,23,多云,东南风 2级,,
澳门,2022-10-23 星期日 ,28,24,多云,东北风 2级,,
澳门,2022-10-24 星期一 ,26,21,多云,东南风 2级,,
澳门,2022-10-25 星期二 ,27,22,多云,东风 3级,,
澳门,2022-10-26 星期三 ,24,22,晴,东风 3级,,
澳门,2022-10-27 星期四 ,26,23,晴,东南风 2级,,
澳门,2022-10-28 星期五 ,27,22,晴,东风 4级,,
澳门,2022-10-29 星期六 ,29,21,多云,东北风 1级,,
澳门,2022-10-30 星期日 ,29,22,多云,北风 4级,,
澳门,2022-10-31 星期一 ,27,21,多云,北风 2级,,
澳门,2022-11-01 星期二 ,24,19,多云,北风 6级,,
澳门,2022-11-02 星期三 ,24,18,阴,北风 2级,,
澳门,2022-11-03 星期四 ,22,21,阴,北风 4级,,
澳门,2022-11-04 星期五 ,25,20,阴,东风 2级,,
澳门,2022-11-05 星期六 ,24,19,多云,东北风 4级,,
澳门,2022-11-06 星期日 ,21,19,阴,东北风 3级,,
澳门,2022-11-07 星期一 ,22,20,阴,东风 4级,,
澳门,2022-11-08 星期二 ,23,20,阴,东北风 2级,,
澳门,2022-11-09 星期三 ,25,20,阴,东风 5级,,
澳门,2022-11-10 星期四 ,26,22,雾,东风 3级,,
澳门,2022-11-11 星期五 ,27,21,多云,南风 1级,,
澳门,2022-11-12 星期六 ,27,22,多云,北风 1级,,
澳门,2022-11-13 星期日 ,26,22,多云,东风 2级,,
澳门,2022-11-14 星期一 ,26,21,雾,东风 2级,,
澳门,2022-11-15 星期二 ,26,22,多云,南风 2级,,
澳门,2022-11-16 星期三 ,27,23,多云,东南风 2级,,
澳门,2022-11-17 星期四 ,25,20,多云,南风 2级,,
澳门,2022-11-18 星期五 ,26,20,阴,东南风 1级,,
澳门,2022-11-19 星期六 ,26,21,多云,东北风 2级,,
澳门,2022-11-20 星期日 ,27,22,多云,北风 2级,,
澳门,2022-11-21 星期一 ,25,20,多云,东风 4级,,
澳门,2022-11-22 星期二 ,25,21,阴,东风 3级,,
澳门,2022-11-23 星期三 ,24,21,阴,东北风 2级,,
澳门,2022-11-24 星期四 ,24,23,阴,东风 4级,,
澳门,2022-11-25 星期五 ,24,21,阴,东风 3级,,
澳门,2022-11-26 星期六 ,25,22,阴,东北风 4级,,
澳门,2022-11-27 星期日 ,26,23,雾,东南风 3级,,
澳门,2022-11-28 星期一 ,26,23,雾,西南风 2级,,
澳门,2022-11-29 星期二 ,25,18,多云,东风 2级,,
澳门,2022-11-30 星期三 ,21,12,多云,东北风 2级,,
澳门,2022-12-01 星期四 ,16,11,多云,东风 2级,,
澳门,2022-12-02 星期五 ,16,15,多云,北风 2级,,
澳门,2022-12-03 星期六 ,20,18,多云,北风 3级,,
澳门,2022-12-04 星期日 ,21,14,多云,北风 2级,,
澳门,2022-12-05 星期一 ,19,13,多云,北风 2级,,
澳门,2022-12-06 星期二 ,18,12,多云,北风 2级,,
澳门,2022-12-07 星期三 ,19,15,多云,北风 4级,,
澳门,2022-12-08 星期四 ,21,15,晴,东北风 2级,,
澳门,2022-12-09 星期五 ,20,14,晴,北风 2级,,
澳门,2022-12-10 星期六 ,21,14,晴,西北风 4级,,
澳门,2022-12-11 星期日 ,20,13,晴,南风 2级,,
澳门,2022-12-12 星期一 ,18,13,多云,北风 3级,,
澳门,2022-12-13 星期二 ,16,12,多云,北风 2级,,
澳门,2022-12-14 星期三 ,14,12,多云,北风 4级,,
澳门,2022-12-15 星期四 ,15,13,多云,北风 1级,,
澳门,2022-12-16 星期五 ,17,13,阴,西北风 2级,,
澳门,2022-12-17 星期六 ,14,6,多云,西北风 4级,,
澳门,2022-12-18 星期日 ,13,8,多云,西风 2级,,
澳门,2022-12-19 星期一 ,14,13,多云,西风 1级,,
澳门,2022-12-20 星期二 ,17,12,阴,东北风 3级,,
澳门,2022-12-21 星期三 ,19,11,多云,北风 2级,,
澳门,2022-12-22 星期四 ,18,12,多云,东北风 2级,,
澳门,2022-12-23 星期五 ,17,12,晴,东北风 2级,,
澳门,2022-12-24 星期六 ,17,12,晴,东北风 2级,,
澳门,2022-12-25 星期日 ,20,14,晴,东北风 2级,,
澳门,2022-12-26 星期一 ,18,13,雾,东风 3级,,
澳门,2022-12-27 星期二 ,19,13,晴,东风 2级,,
澳门,2022-12-28 星期三 ,18,11,晴,东风 2级,,
澳门,2022-12-29 星期四 ,16,11,多云,北风 2级,,
澳门,2022-12-30 星期五 ,18,11,晴,西风 3级,,
澳门,2022-12-31 星期六 ,19,11,晴,西北风 2级,,
长春,2022-01-01 星期六 ,-4,-19,多云,西风 4级,,
长春,2022-01-02 星期日 ,-7,-17,晴,北风 1级,,
长春,2022-01-03 星期一 ,-7,-20,晴,西南风 1级,,
长春,2022-01-04 星期二 ,-11,-18,晴,南风 2级,,
长春,2022-01-05 星期三 ,-5,-18,多云,西南风 2级,,
长春,2022-01-06 星期四 ,-12,-19,晴,南风 2级,,
长春,2022-01-07 星期五 ,-2,-9,多云,南风 3级,,
长春,2022-01-08 星期六 ,-3,-20,晴,北风 1级,,
长春,2022-01-09 星期日 ,-8,-18,晴,南风 2级,,
长春,2022-01-10 星期一 ,-10,-20,多云,西风 1级,,
长春,2022-01-11 星期二 ,-15,-23,晴,西风 2级,,
长春,2022-01-12 星期三 ,-12,-22,多云,南风 3级,,
长春,2022-01-13 星期四 ,-13,-21,晴,东南风 1级,,
长春,2022-01-14 星期五 ,-5,-9,晴,东南风 3级,,
长春,2022-01-15 星期六 ,-3,-18,晴,西南风 2级,,
长春,2022-01-16 星期日 ,-11,-17,多云,南风 2级,,
长春,2022-01-17 星期一 ,-10,-20,多云,西风 2级,,
长春,2022-01-18 星期二 ,-13,-22,多云,北风 2级,,
长春,2022-01-19 星期三 ,-13,-24,晴,北风 2级,,
长春,2022-01-20 星期四 ,-11,-23,晴,东北风 1级,,
长春,2022-01-21 星期五 ,12,9,阴到小雨,东北风 1级,,
长春,2022-01-22 星期六 ,-9,-18,阴,北风 1级,,
长春,2022-01-23 星期日 ,-7,-20,晴,东北风 2级,,
长春,2022-01-24 星期一 ,-5,-17,多云,东风 1级,,
长春,2022-01-25 星期二 ,-9,-18,晴,西风 2级,,
长春,2022-01-26 星期三 ,-7,-17,多云,西风 1级,,
长春,2022-01-27 星期四 ,-8,-18,晴,西风 1级,,
长春,2022-01-28 星期五 ,-8,-19,晴,西风 2级,,
长春,2022-01-29 星期六 ,-7,-16,晴,西南风 3级,,
长春,2022-01-30 星期日 ,-7,-15,晴,西北风 2级,,
长春,2022-01-31 星期一 ,-8,-19,多云,北风 1级,,
长春,2022-02-01 星期二 ,-7,-18,晴,西南风 2级,,
长春,2022-02-02 星期三 ,-8,-19,多云,西风 2级,,
长春,2022-02-03 星期四 ,-9,-19,晴,西南风 1级,,
长春,2022-02-04 星期五 ,-10,-19,多云,西南风 2级,,
长春,2022-02-05 星期六 ,-9,-19,多云,西风 2级,,
长春,2022-02-06 星期日 ,-6,-16,晴,西南风 2级,,
长春,2022-02-07 星期一 ,-3,-12,晴,西南风 2级,,
长春,2022-02-08 星期二 ,-1,-11,晴,南风 2级,,
长春,2022-02-09 星期三 ,3,-11,多云,西南风 2级,,
长春,2022-02-10 星期四 ,3,-7,多云,南风 2级,,
长春,2022-02-11 星期五 ,-2,-13,小雪,西风 3级,,
长春,2022-02-12 星期六 ,-6,-18,多云,北风 1级,,
长春,2022-02-13 星期日 ,-7,-16,多云,东北风 2级,,
长春,2022-02-14 星期一 ,-11,-17,阴,西北风 1级,,
长春,2022-02-15 星期二 ,-10,-15,多云,西风 2级,,
长春,2022-02-16 星期三 ,-10,-18,小雪,西北风 1级,,
长春,2022-02-17 星期四 ,-6,-17,晴,东南风 2级,,
长春,2022-02-18 星期五 ,-3,-16,小雪,西风 3级,,
长春,2022-02-19 星期六 ,-9,-18,小雪,西风 2级,,
长春,2022-02-20 星期日 ,-7,-18,多云,西风 1级,,
长春,2022-02-21 星期一 ,-8,-21,多云,西风 2级,,
长春,2022-02-22 星期二 ,-8,-19,多云,西南风 1级,,
长春,2022-02-23 星期三 ,-4,-12,多云,西南风 3级,,
长春,2022-02-24 星期四 ,1,-9,多云,西南风 3级,,
长春,2022-02-25 星期五 ,6,-8,多云,西南风 2级,,
长春,2022-02-26 星期六 ,2,-8,多云,西风 3级,,
长春,2022-02-27 星期日 ,4,-8,多云,西风 2级,,
长春,2022-02-28 星期一 ,2,-9,雨夹雪,西风 2级,,
